time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-31T18:28:56.536Z,62.779,-149.898,66.8,1.7,ml,,,,0.81,ak,ak023b66h9at,2023-08-31T18:30:59.893Z,"38 km NNE of Chase, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-08-31T18:09:25.770Z,19.3463333333333,-155.193,5.07,2.14,ml,42,100,,0.13,hv,hv73554997,2023-08-31T18:26:20.757Z,"11 km SSE of Volcano, Hawaii",earthquake,0.34,0.58,0.132352333245021,22,reviewed,hv,hv
2023-08-31T18:07:45.667Z,40.0057,-118.2993,16,1.5,ml,8,221.76,0.263,0.6951,nn,nn00865312,2023-08-31T18:10:29.957Z,"24 km SE of Lovelock, Nevada",earthquake,,0.9,0.39,5,automatic,nn,nn
2023-08-31T18:03:27.783Z,60.1998,-152.6706,100,1.9,ml,,,,0.71,ak,ak023b66bu4u,2023-08-31T18:06:34.076Z,"58 km WNW of Ninilchik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-31T17:59:00.605Z,66.2779,-150.7422,5.5,1.5,ml,,,,0.62,ak,ak023b662cks,2023-08-31T18:01:06.568Z,"northern Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T17:58:55.540Z,32.8913333,-115.8375,28.76,1.69,ml,8,224,0.06224,0.37,ci,ci39656130,2023-08-31T18:02:35.788Z,"23 km NE of Ocotillo, CA",earthquake,3.02,1.09,0.469,16,automatic,ci,ci
2023-08-31T17:58:40.760Z,36.7463341,-121.5928345,2.43,1.91,md,23,62,0.02879,0.12,nc,nc73931376,2023-08-31T18:23:17.462Z,"8 km ESE of Prunedale, CA",earthquake,0.35,0.88,0.09,19,automatic,nc,nc
2023-08-31T17:56:04.223Z,61.2442,-149.8908,35.2,2.1,ml,,,,0.38,ak,ak023b661ppi,2023-08-31T17:57:42.545Z,"2 km N of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-08-31T17:53:31.294Z,63.8186,-154.1849,0,2.2,ml,,,,0.87,ak,ak023b6614nd,2023-08-31T17:55:39.349Z,"90 km N of Nikolai, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T17:50:47.951Z,63.1334,-150.8797,29,1.8,ml,,,,0.79,ak,ak023b660isb,2023-08-31T17:53:08.795Z,"62 km SE of Denali National Park, Alaska",earthquake,,2.2,,,automatic,ak,ak
2023-08-31T17:47:24.669Z,63.2925,-145.3237,20.5,1.9,ml,,,,0.69,ak,ak023b65ztua,2023-08-31T17:48:56.731Z,"26 km NNE of Paxson, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T17:43:47.619Z,35.34716667,-97.93416667,6.27,1.67,ml,58,69,0.04589099462,0.31,ok,ok2023rbmv,2023-08-31T18:14:10.995Z,"Oklahoma",earthquake,,0.5,0.27,4,reviewed,ok,ok
2023-08-31T17:25:46.580Z,19.3598327636719,-155.29833984375,1.75999999046326,1.72,ml,15,108,,0.150000006,hv,hv73554957,2023-08-31T17:31:17.890Z,"11 km SW of Volcano, Hawaii",earthquake,0.37,0.660000026,2.57,5,automatic,hv,hv
2023-08-31T16:55:37.582Z,62.7541,-148.9001,10.5,1.6,ml,,,,0.63,ak,ak023b65g4y1,2023-08-31T17:07:38.774Z,"70 km ENE of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T16:53:11.410Z,42.6335,-111.6148333,4.89,1.4,md,13,154,0.4015,0.21,uu,uu60548847,2023-08-31T18:05:12.570Z,"southern Idaho",earthquake,0.92,3.31,0.054,6,reviewed,uu,uu
2023-08-31T16:25:15.280Z,57.1038,-135.8041,2,1.9,ml,,,,0.4,ak,ak023b659nrc,2023-08-31T17:38:13.360Z,"29 km W of Sitka, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T16:19:49.430Z,33.0465,-116.3586667,12.97,1.16,ml,22,58,0.08634,0.21,ci,ci39655986,2023-08-31T16:41:42.704Z,"23 km E of Julian, CA",earthquake,0.38,1,0.286,27,reviewed,ci,ci
2023-08-31T16:17:31.050Z,19.3746662139893,-155.282165527344,1.48000001907349,1.85000002,md,12,148,,0.119999997,hv,hv73554902,2023-08-31T16:20:35.770Z,"Island of Hawaii, Hawaii",earthquake,0.29,0.349999994,0.980000019,12,automatic,hv,hv
2023-08-31T16:10:24.960Z,34.2071667,-117.5365,7.97,1.29,ml,36,43,0.09155,0.25,ci,ci39655978,2023-08-31T16:14:05.491Z,"7 km SSW of Lytle Creek, CA",earthquake,0.35,0.88,0.175,30,automatic,ci,ci
2023-08-31T16:00:46.748Z,37.2078,-114.8948,5.2,1.7,ml,18,286.09,0.734,0.329,nn,nn00865311,2023-08-31T16:03:32.759Z,"29 km SE of Alamo, Nevada",earthquake,,3.4,0.79,14,automatic,nn,nn
2023-08-31T15:57:37.469Z,36.227,-95.83516667,0,1.16,ml,54,118,0.3185374921,0.62,ok,ok2023rbji,2023-08-31T16:11:48.220Z,"5 km SSE of Owasso, Oklahoma",quarry blast,,0.7,0.22,20,reviewed,ok,ok
2023-08-31T15:53:19.540Z,32.3838333,-115.1415,7.37,1.71,ml,14,68,0.06973,0.29,ci,ci39655930,2023-08-31T15:57:00.040Z,"6 km ENE of Delta, B.C., MX",earthquake,1.05,1.49,0.292,16,automatic,ci,ci
2023-08-31T15:51:07.170Z,34.8873333,-118.75,10.73,1.2,ml,23,62,0.07345,0.22,ci,ci39655922,2023-08-31T15:54:39.018Z,"12 km ENE of Lebec, CA",earthquake,0.37,0.63,0.239,17,automatic,ci,ci
2023-08-31T15:21:01.260Z,36.4135,-96.87883333,6.03,1.39,ml,66,59,0.04229170093,0.32,ok,ok2023rbid,2023-08-31T15:31:51.514Z,"",earthquake,,0.4,0.24,25,reviewed,ok,ok
2023-08-31T15:19:13.726Z,49.8916,155.98,79.142,4.4,mb,68,136,3.396,0.47,us,us7000ksen,2023-08-31T18:09:58.040Z,"87 km S of Severo-Kuril’sk, Russia",earthquake,11.25,8.079,0.07,62,reviewed,us,us
2023-08-31T14:59:43.952Z,63.6929,-149.3984,28.7,1.4,ml,,,,0.82,ak,ak023b64a53v,2023-08-31T15:02:00.067Z,"24 km W of Denali Park, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-08-31T14:58:46.389Z,-17.6807,-178.7787,554.854,4.4,mb,33,83,4.644,0.83,us,us7000ksei,2023-08-31T15:22:44.040Z,"206 km ENE of Levuka, Fiji",earthquake,9.73,9.668,0.089,36,reviewed,us,us
2023-08-31T14:56:25.940Z,19.1714992523193,-155.481826782227,28.0300006866455,1.91999996,md,30,164,,0.100000001,hv,hv73554837,2023-08-31T14:59:34.050Z,"3 km S of Pāhala, Hawaii",earthquake,0.72,1.17999995,0.660000026,7,automatic,hv,hv
2023-08-31T14:48:43.657Z,63.0277,-151.5485,0,1.5,ml,,,,1.03,ak,ak023b647s7h,2023-08-31T14:50:39.255Z,"57 km S of Denali National Park, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-08-31T14:08:35.334Z,61.6383,-149.6235,28.4,1.8,ml,,,,0.74,ak,ak023b63z6x9,2023-08-31T14:10:09.452Z,"1 km NW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T14:04:32.884Z,66.3237,-150.9015,9.4,1.6,ml,,,,0.91,ak,ak023b63ybvc,2023-08-31T14:06:37.685Z,"71 km SSE of Bettles, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T13:52:06.600Z,32.9631653,-115.8626633,7.43,2.84,ml,89,21,0.03332,0.26,ci,ci39655834,2023-08-31T17:25:39.105Z,"24 km WSW of Westmorland, CA",earthquake,0.18,0.5,0.258,22,automatic,ci,ci
2023-08-31T13:36:48.780Z,32.34,-115.0778333,15.05,2.36,ml,15,132,0.03703,0.27,ci,ci39655826,2023-08-31T13:40:26.319Z,"6 km NNE of Guadalupe Victoria, B.C., MX",earthquake,1.27,0.78,0.214,27,automatic,ci,ci
2023-08-31T13:24:20.177Z,38.5196,-119.5241,4,1.4,ml,10,168.12,0.066,0.1613,nn,nn00865308,2023-08-31T13:26:58.482Z,"4 km W of Walker, California",earthquake,,0.7,0.16,5,automatic,nn,nn
2023-08-31T13:21:14.809Z,62.0177,-141.9176,0,1.6,ml,,,,0.44,ak,ak023b63gi1k,2023-08-31T13:22:37.689Z,"69 km SE of Nabesna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-08-31T13:18:11.759Z,64.3175,-150.8577,0.8,1.6,ml,,,,0.66,ak,ak023b63funr,2023-08-31T13:20:25.963Z,"76 km S of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T12:58:32.320Z,19.1828327178955,-155.497497558594,33.9599990844727,2.11,ml,41,90,,0.119999997,hv,hv73554717,2023-08-31T13:04:02.640Z,"2 km SW of Pāhala, Hawaii",earthquake,0.5,0.699999988,3.94,5,automatic,hv,hv
2023-08-31T12:54:26.160Z,31.6278333,-115.9936667,9.39,2.55,ml,7,75,0.296,0.13,ci,ci39655810,2023-08-31T12:57:59.926Z,"55 km E of Maneadero, B.C., MX",earthquake,0.41,1.82,0.191,19,automatic,ci,ci
