,Site,Longitude,Latitude,Elevation,East Velocity (m/s),East Covariance Matrix,North Velocity (m/s),North Covariance Matrix,Vertical Velocity (m/s),Vertical Covariance Matrix
0,AZCN,36.83979295060416,-107.91096240420904,1862.9388360243274,-0.001095704676954627,"[[ 1.69763635e-10 -3.40463210e-07]
 [-3.40463210e-07  6.82805498e-04]]",0.0026199915794941466,"[[ 7.66771083e-11 -1.53776951e-07]
 [-1.53776951e-07  3.08402620e-04]]",-0.0008614641176961553,"[[ 8.08400194e-10 -1.62125725e-06]
 [-1.62125725e-06  3.25146248e-03]]"
1,CTI4,37.15291819162047,-107.7560908974813,2017.9645522683638,-0.0017049758191019428,"[[ 8.04671258e-11 -1.62405025e-07]
 [-1.62405025e-07  3.27779268e-04]]",0.0016065480414319889,"[[ 6.93581215e-11 -1.39983967e-07]
 [-1.39983967e-07  2.82527232e-04]]",-0.0023062432034449453,"[[ 1.78822905e-09 -3.60914322e-06]
 [-3.60914322e-06  7.28427163e-03]]"
2,MC10,38.45559843447433,-107.87845670801822,1808.5898754969496,-8.983273297744324e-05,"[[ 9.34682456e-11 -1.88491108e-07]
 [-1.88491108e-07  3.80118852e-04]]",0.0021159823145745506,"[[ 5.65194759e-11 -1.13979016e-07]
 [-1.13979016e-07  2.29854731e-04]]",-0.0011656178493711204,"[[ 1.03063643e-09 -2.07841502e-06]
 [-2.07841502e-06  4.19141651e-03]]"
3,NMLG,35.039952615084914,-107.37233835135542,1763.225417555499,-0.0010525536817322504,"[[ 6.09715432e-11 -1.23039785e-07]
 [-1.23039785e-07  2.48293440e-04]]",0.0016916863965925624,"[[ 5.61310421e-11 -1.13271716e-07]
 [-1.13271716e-07  2.28581542e-04]]",-0.00045426061146189745,"[[ 4.70871273e-10 -9.50212125e-07]
 [-9.50212125e-07  1.91752152e-03]]"
4,P028,36.03168469970927,-107.9084097008228,1933.1125905955462,-0.0007577345361662527,"[[ 1.57709367e-11 -3.17706616e-08]
 [-3.17706616e-08  6.40026558e-05]]",0.0018735378870526466,"[[ 2.68121167e-11 -5.40131951e-08]
 [-5.40131951e-08  1.08810699e-04]]",-0.0006501880267160317,"[[ 9.42853935e-11 -1.89938580e-07]
 [-1.89938580e-07  3.82635203e-04]]"
5,P029,38.43919042010683,-107.63804444204757,2455.374919713109,-0.0031566992086852173,"[[ 5.27117660e-11 -1.06240387e-07]
 [-1.06240387e-07  2.14128304e-04]]",-0.0008063850920730468,"[[ 5.35827728e-11 -1.07995899e-07]
 [-1.07995899e-07  2.17666555e-04]]",0.0020591502909003416,"[[ 1.96375435e-10 -3.95794027e-07]
 [-3.95794027e-07  7.97725859e-04]]"
6,P034,34.945619369258914,-106.45926766318154,1810.912904460357,-0.00023037768607006833,"[[ 1.88113724e-11 -3.78839585e-08]
 [-3.78839585e-08  7.62945592e-05]]",0.0017435983529289945,"[[ 1.27621378e-11 -2.57014900e-08]
 [-2.57014900e-08  5.17602683e-05]]",-0.00035380173533812415,"[[ 1.23662615e-10 -2.49042402e-07]
 [-2.49042402e-07  5.01546857e-04]]"
7,RG01,34.66707241874529,-108.04381294561216,2157.5445903269065,-0.0010486647405682256,"[[ 5.56515623e-11 -1.11969597e-07]
 [-1.11969597e-07  2.25280728e-04]]",0.0019487864474064278,"[[ 7.99297392e-11 -1.60816701e-07]
 [-1.60816701e-07  3.23560184e-04]]",-0.0016942737279371295,"[[ 4.71738603e-10 -9.49126654e-07]
 [-9.49126654e-07  1.90962502e-03]]"
8,SC01,34.0679525903593,-106.96654343614418,2097.3797761579444,-0.0005619692435699448,"[[ 2.52330287e-11 -5.07802381e-08]
 [-5.07802381e-08  1.02193758e-04]]",0.0016728999591188616,"[[ 2.21679633e-11 -4.46119438e-08]
 [-4.46119438e-08  8.97802445e-05]]",0.0004361605443582512,"[[ 1.06548688e-10 -2.14424033e-07]
 [-2.14424033e-07  4.31522153e-04]]"
9,TC01,37.93803350458362,-107.81333275154341,2677.537223530409,-0.00046461169965060744,"[[ 3.60566909e-09 -7.28212548e-06]
 [-7.28212548e-06  1.47072217e-02]]",0.0014591076658900342,"[[ 2.10763962e-09 -4.25665694e-06]
 [-4.25665694e-06  8.59688538e-03]]",-0.0005012648251278638,"[[ 2.13831079e-08 -4.31860135e-05]
 [-4.31860135e-05  8.72199023e-02]]"
